title,pageID,w0Edits,w1Edits,w2Edits,w3Edits,w4Edits,w5Edits,w6Edits,w7Edits,w0EditorsCount,w1EditorsCount,w2EditorsCount,w3EditorsCount,w4EditorsCount,w5EditorsCount,w6EditorsCount,w7EditorsCount
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats,11234826,,,,,,,,,,,,,,,,
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Ranked_voting_system,11252854,,,,,,,,,,,,,,,,
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Quotas,11245541,,,,,,,,,,,,,,,,
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Call_for_types_of_skills_and_experience,11251703,,,,,,,,,,,,,,,,
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Vetting_of_candidates,11251705,,,,,,,,,,,,,,,,
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Board-delegated_Selection_Committee,11251707,,,,,,,,,,,,,,,,
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Community-elected_Selection_Committee,11251708,,,,,,,,,,,,,,,,
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Election_of_confirmed_candidates,11251709,,,,,,,,,,,,,,,,
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Direct_appointment_of_confirmed_candidates,11251710,,,,,,,,,,,,,,,,
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Regional_seats,11257893,,,,,,,,,,,,,,,,
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Specialization_seats,11258637,,,,,,,,,,,,,,,,
Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Candidate_resources,11271164,,,,,,,,,,,,,,,,